datetime,pm_25_conc,pm_25_AQI,pm_25_AQI_cat,station_name
2022-12-24T00:00,6.3,26,1,Algonquin Parkway
2022-12-24T00:00,6.4,27,1,Jeffersonville - Bates-Bowyer Av
2022-12-24T00:00,0.0,0,1,St. Andrews Park
2022-12-24T00:00,6.8,28,1,Near Road
2022-12-24T00:00,4.0,17,1,GRAND RAPIDS
2022-12-24T00:00,6.8,28,1,Cannons Lane
2022-12-24T00:00,9.6,40,1,Anderson-Eastside Elem. Sch
2022-12-24T00:00,10.4,43,1,Larwill
2022-12-24T00:00,6.4,27,1,Bonifay
2022-12-24T00:00,7.4,31,1,Carrithers Middle School
2022-12-24T00:00,5.6,23,1,KALAMAZOO
2022-12-24T00:00,1.9,8,1,Cookeville
2022-12-24T00:00,5.0,21,1,Rome
2022-12-24T00:00,7.7,32,1,Rossville-Williams St
2022-12-24T00:00,7.2,30,1,Riverside
2022-12-24T00:00,1.9,8,1,PC South Girard School
2022-12-24T00:00,3.5,15,1,Columbus Airport
2022-12-24T00:00,7.4,31,1,HOUGHTON LAKE
2022-12-24T00:00,26.2,81,2,Preble NCore
2022-12-24T00:00,6.8,28,1,Colerain
2022-12-24T00:00,6.0,25,1,SOMERST
2022-12-24T00:00,2.2,9,1,ATHENS
2022-12-24T00:00,4.6,19,1,LANSING
2022-12-24T00:00,6.1,25,1,Lower Price Hill
2022-12-24T00:00,5.4,23,1,Harriman
2022-12-24T00:00,5.3,22,1,Cincinnati Near Road
2022-12-24T00:00,6.3,26,1,Taft NCore
2022-12-24T00:00,6.1,25,1,NEWTWN
2022-12-24T00:00,6.4,27,1,Carthage
2022-12-24T00:00,6.6,28,1,NKU
2022-12-24T00:00,4.1,17,1,NR-Georgia Tech
2022-12-24T00:00,6.4,27,1,Sycamore
2022-12-24T00:00,6.1,25,1,United Ave
2022-12-24T00:00,5.0,21,1,Tallahassee Community College
2022-12-24T00:00,3.7,15,1,LOUDONMS
2022-12-24T00:00,4.9,20,1,Lebanon
2022-12-24T00:00,7.0,29,1,Sinclair
2022-12-24T00:00,4.8,20,1,St. Marks Wildlife Refuge
2022-12-24T00:00,2.6,11,1,McDonough
2022-12-24T00:00,3.9,16,1,Batavia
2022-12-24T00:00,4.5,19,1,Gwinnett Tech
2022-12-24T00:00,6.5,27,1,Lima
2022-12-24T00:00,8.3,35,1,Rule
2022-12-24T00:00,7.8,33,1,TECUMSEH
2022-12-24T00:00,7.7,32,1,MARYVILL
2022-12-24T00:00,6.0,25,1,AIR LAB
2022-12-24T00:00,8.5,35,1,BAY CITY
2022-12-24T00:00,6.4,27,1,SPRINGHILL
2022-12-24T00:00,4.2,18,1,Gainesville
2022-12-24T00:00,6.7,28,1,Springfield Fire St1
2022-12-24T00:00,6.1,25,1,MIDAIR
2022-12-24T00:00,6.9,29,1,FLINT
2022-12-24T00:00,7.1,30,1,YPSILANTI
2022-12-24T00:00,2.9,12,1,Warner Robins
2022-12-24T00:00,7.4,31,1,Erie
2022-12-24T00:00,3.4,14,1,Macon Forestry
2022-12-24T00:00,7.1,30,1,BRYSON
2022-12-24T00:00,4.6,19,1,Athens
2022-12-24T00:00,9.1,38,1,ELIZA HOWELL-NR
2022-12-24T00:00,5.5,23,1,HAZ2
2022-12-24T00:00,7.8,33,1,ALLEN PARK
2022-12-24T00:00,7.7,32,1,NMH48217
2022-12-24T00:00,13.4,54,2,DEARBORN
2022-12-24T00:00,9.1,38,1,TRINITY
