datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-29T02:00,PM10,3.0,3,1,Shell Cut
2022-12-29T02:00,PM2.5,0.6,3,1,Lacrosse-Hill St
2022-12-29T02:00,PM10,33.0,31,1,Keeler
2022-12-29T02:00,PM2.5,4.2,18,1,Keeler
2022-12-29T02:00,PM10,2.0,2,1,Mill Site
2022-12-29T02:00,PM2.5,3.6,15,1,Glendora - Laurel
2022-12-29T02:00,PM10,11.0,10,1,Glendora - Laurel
2022-12-29T02:00,PM2.5,6.3,26,1,Baker City - Forest Service
2022-12-29T02:00,PM2.5,6.0,25,1,Cove - City Hall
2022-12-29T02:00,PM2.5,3.1,13,1,Castlegar Zinio Park
2022-12-29T02:00,PM10,8.0,7,1,Castlegar Zinio Park
2022-12-29T02:00,PM2.5,10.9,45,1,Upland
2022-12-29T02:00,PM10,12.0,11,1,Upland
2022-12-29T02:00,PM2.5,0.0,0,1,Pomeroy-Pataha St
2022-12-29T02:00,PM2.5,0.6,3,1,Airway Heights-West 12th (US)
2022-12-29T02:00,PM10,1.0,1,1,Cheney-Turnbull (SO)
2022-12-29T02:00,PM2.5,0.3,1,1,Cheney-Turnbull (SO)
2022-12-29T02:00,PM2.5,5.2,22,1,Mira Loma - Van Buren
2022-12-29T02:00,PM10,16.0,15,1,Mira Loma - Van Buren
